portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.6-1
prrte 3.0.13-1
psmisc 23.7-1
pugixml 1.15-2
purpose 6.22.0-1
python 3.14.2-2
python-argcomplete 3.6.2-2
python-asttokens 3.0.1-1
python-attrs 25.4.0-3
python-autocommand 2.2.2-9
python-blessed 1.25-3
python-build 1.4.0-1
python-cffi 2.0.0-2
python-comm 0.2.3-2
python-cryptography 46.0.4-1
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-decorator 5.2.1-2
python-executing 2.2.1-3
python-filelock 3.20.3-1
python-installer 0.7.0-14
python-ipykernel 7.2.0-1
python-ipython-pygments-lexers 1.1.1-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jedi 0.19.2-4
python-jupyter-client 8.8.0-2
python-jupyter-core 5.9.1-2
python-lxml 6.0.2-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markupsafe 3.0.2-2
python-matplotlib-inline 0.2.1-2
python-more-itertools 10.8.0-2
python-nest-asyncio 1.6.0-5
python-numpy 2.4.2-1
python-packaging 26.0-1
python-pandas 2.3.3-2
python-parso 1:0.8.5-2
python-pexpect 4.9.0-7
python-pip 26.0.1-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.5.1-3
python-prettytable 3.17.0-2
python-prompt_toolkit 3.0.52-2
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pure-eval 0.2.3-3
python-pyaml 24.12.0-2
python-pycparser 2.23-2
python-pyelftools 0.32-2
python-pygments 2.19.2-3
python-pyproject-hooks 1.2.0-6
python-pytz 2025.2-2
python-pywal16 1:3.8.13-1
python-pyxdg 0.28-7
python-pyzmq 27.1.0-2
python-setuptools 1:82.0.0-1
python-setuptools-scm 9.2.2-3
python-six 1.17.0-2
python-stack-data 0.6.3-5
python-tornado 6.5.2-4
python-tqdm 4.67.3-1
python-traitlets 5.14.3-4
python-typing_extensions 4.15.0-3
python-wcwidth 0.6.0-1
python-wheel 0.46.3-1
python-yaml 6.0.3-2
qca-qt6 2.3.10-4
qqc2-desktop-style 6.22.0-1
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-graphicaleffects 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5ct 1.9-1
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-positioning 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-translations 6.10.2-1
qt6-wayland 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
qt6ct-kde 0.11-5
qt6ct-kde-debug 0.11-5
rav1e 0.8.1-2
rccl 7.2.0-1
re2 2:2025.11.05-1
readline 8.3.003-1
rhash 1.4.6-1
ripgrep 15.1.0-1
ripgrep-all 0.10.10-1
rocalution 7.2.0-2
rocblas 7.2.0-1
rocfft 7.2.0-1
rocm-cmake 7.2.0-1
rocm-core 7.2.0-1
rocm-device-libs 2:7.2.0-1
rocm-hip-libraries 7.2.0-1
rocm-hip-runtime 7.2.0-1
rocm-hip-sdk 7.2.0-1
rocm-language-runtime 7.2.0-1
rocm-llvm 2:7.2.0-1
rocm-opencl-runtime 7.2.0-1
rocm-opencl-sdk 7.2.0-1
rocm-smi-lib 7.2.0-1
rocminfo 7.2.0-1
rocprim 7.2.0-1
rocprofiler-register 7.2.0-1
rocrand 7.2.0-1
rocsolver 7.2.0-1
rocsparse 7.2.0-1
rocthrust 7.2.0-1
roctracer 7.2.0-3
rofi 2.0.0-1
rofi-calc 2.5.0-1
rofi-emoji 4.1.0-2
rtkit 0.14-1
rubberband 4.0.0-1
sbc 2.2-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sddm-theme-sugar-candy-git r41.a1fae51-1
sdl2-compat 2.32.64-1
sdl3 3.4.0-3
seatd 0.9.2-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2026.1-1
shadow 4.18.0-1
shared-mime-info 2.4-2
signon-kwallet-extension 25.12.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simdjson 1:4.2.4-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.23.5-1
snappy 1.2.2-2
sndio 1.10.0-1
solid 6.22.0-1
sonnet 6.22.0-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
spdlog 1.17.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli-debug 2.42.9-1
spirv-tools 1:1.4.341.0-1
sqlite 3.51.2-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
suitesparse 7.12.2-1
svt-av1 4.0.1-1
swww 0.11.2-1
syndication 6.22.0-1
syntax-highlighting 6.22.0-1
systemd 259.1-1
systemd-libs 259.1-1
systemd-sysvcompat 259.1-1
taglib 2.1.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.2-1
tinysparql 3.10.1-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree 2.3.1-1
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.4.0-2
tzdata 2025c-1
udisks2 2.11.0-1
unzip 6.0-23
upower 1.91.1-1
uthash 2.3.0-2
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
uv 0.10.2-1
uwsm 0.26.2-1
v4l-utils 1.32.0-1
vala 0.56.18-5
vapoursynth 73-2
vid.stab 1.1.1-2
vim 9.1.2132-1
vim-runtime 9.1.2132-1
visual-studio-code-bin 1.109.2-1
vmaf 3.0.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.341.0-1
vulkan-mesa-implicit-layers 1:25.3.5-1
vulkan-radeon 1:25.3.5-1
waybar 0.15.0-1
wayland 1.24.0-1
wayland-protocols 1.47-1
webrtc-audio-processing-1 1.3-5
wf-recorder 0.6.0-1
wget 1.25.0-3
which 2.23-1
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-wlr 0.8.1-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xkeyboard-config 2.46-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xwayland 24.1.9-1
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.2-1
yaml-cpp 0.8.0-2
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
yyjson 0.12.0-1
zeromq 4.3.5-2
zimg 3.0.6-1
zix 0.8.0-1
zlib 1:1.3.1-2
zlib-ng 2.3.3-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4320.8ed1f58e-1
